id,code,name,type,parent_code,create_time,update_time,is_deleted
3035,6201,兰州市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3036,620102,城关区,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3037,620103,七里河区,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3038,620104,西固区,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3039,620105,安宁区,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3040,620111,红古区,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3041,620121,永登县,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3042,620122,皋兰县,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3043,620123,榆中县,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3044,620171,兰州新区,COUNTY,6201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3045,6202,嘉峪关市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3046,620201,市辖区,COUNTY,6202,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3047,6203,金昌市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3048,620302,金川区,COUNTY,6203,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3049,620321,永昌县,COUNTY,6203,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3050,6204,白银市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3051,620402,白银区,COUNTY,6204,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3052,620403,平川区,COUNTY,6204,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3053,620421,靖远县,COUNTY,6204,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3054,620422,会宁县,COUNTY,6204,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3055,620423,景泰县,COUNTY,6204,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3056,6205,天水市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3057,620502,秦州区,COUNTY,6205,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3058,620503,麦积区,COUNTY,6205,2023-09-11 00:00:00,2023-09-11 00:00:00,0
